product_name,vendor_name,sales,package,selling_price,original_price,rating,review_number,origin,comment,date
美贊臣 - [官方正貨] 美贊臣 Enfinitas 藍臻3號配方奶粉 (嬰兒奶粉) (1-3歲適用),美贊臣官方旗艦店,"6,000",820克,529.00,,4.2,41,荷蘭,"['5_star', '多啲做特價', '有優惠code 好抵', '有優惠卷，抵好多！', '非常好', '有贈品 正', '包裝完好', 'Ok', 'good', 'Good', 'Gd', '1_star', '一打開奶粉，首先沒有包裝膠紙，應該不是一手貨，而且內部膠蓋損壞，密封損壞，塑膠掉落奶粉入面，出落肚很大問題.', '全部11罐奶粉凹陷！有箱加上逐罐包bubble紙，都會凹到咁！運輸太暴力，要改善！請安排換貨！', '點解打開會咁樣？定係你哋而家的貨物越嚟越求其？係度買咗咁耐嘢，貨物越嚟越差！', '購買完2罐比咗優惠卷！但用優惠卷又話冇貨！變咗冇折扣！又搵唔到客戶服務！咁點解要係你度買!想買返2號又話優恵卷已使用！好有欺騙成份.', '臨過期就抽起曬啲貨，一箱箱就有貨，一罐罐就無貨，逼人啲券過期？？？Online Chat 等半個鐘都仲Loading，真係求助無門。如果到過期都無貨，我一定告到底！']",2023-12-10
美素佳兒 - 有機FRISO PRESTIGE BIO 3號成長配方奶粉800克 - 皇家美素佳兒 FRISO PRESTIGE,荷蘭美素佳兒官方旗艦店,"10,000",800克,488.90,,4.3,54,荷蘭,"['5_star', '可以特價更好', '包裝完好, 貨期新鮮!', 'Great quality, my toddlers love it', '如果有優惠會再次回購', 'Good', '好，有特價後抵', '有益健康', 'good', '原價$488.9/罐，入美素半價優惠碼後$244.4/罐。', 'Good', '1_star', '買果時沒有說明呢$400 優惠券是有限期.\n7月28號送貨. 31號原來經完左. 不能使用果$400\n\n訂單沒有明確顯示呢$400 是有限期使用. 要按入去睇先知有. 有被騙感覺.\n得3日😏\n\n真是好野👍🏻👍🏻👍🏻 甘既推廣', '買4罐，有2罐都凹陷，有冇搞錯，紙盒完整但奶粉罐竟然係凹的，麻煩找人跟進。', '本身佢有買4罐送400蚊HKTV MALL COUPON，一早放左4罐落購物車內但未比錢，到之後再比錢無為意，比完錢先見到無送coupon，咁我點解要喺你到買？變左0優惠！出面咁多優惠咁多野送我唔買咁洗喺你到買？客服淨係叫我截圖睇下果陣係咪真係有送coupon，笑死我會唔會買果陣cap定圖？仲話我比錢果陣無話送就即係無，明明買當晚8點幾我睇購物車都仲見到有，到10點幾買無為意就咁㩒買之後就無送到，而家客服淨識推落消費者到，離哂大譜！', '4罐有兩罐係凹既，其中一罐個蓋開口既密封膠條都冇埋', '四罐有兩罐都被撞凹左，不能接受。尤其是係BB奶粉，係咪應該小心啲？']",2023-12-10
雀巢® - [升級] 能恩®啟護TM 3號配方奶粉800g,雀巢嬰幼營養官方旗艦店,"40,000",800克,269.90,270.00,4.1,359,德國,"['5_star', '因為係低敏配方，BB飲左皮膚好好呀！👍', '送埋貨平過超市', '做promotion 買了8 罐有野送又唔使自己拎，very good', '一直飲開', '方便', '包裝良好', '只喺旗艦店呢度買，一定係真貨，今次做promotion送$250真係好抵，又可以用啱啱買嘅HKTVmall禮券，平上加平', '一直都食能恩', '有做優惠時真是太好', 'nice', '1_star', '完全唔推薦，仲要係旗艦店買，包裝竟然咁差，係小朋友飲嘅奶粉，竟然可以淨係用一張普通嘅bubble 紙包住？買三罐兩罐都係凹成咁樣樣，係完全影響質素！仲衰過過期！簡直不知所謂，冇下次', '有包裝，但係奶粉罐癡粒粒', '罐奶粉係凹！！！麻煩安排更換', '罐有凹，罐面附有黑色的塵粉，好污糟！', '到貨的時候已經爛開左！', '其中一罐身變色', '請問有冇常識?點解會將啲清潔液同啲奶粉擺埋一個箱送貨? 搞到成罐奶粉都係清潔液而清潔液亦都爆開晒？', '個罐凹左，請跟進', '凹左', '粒既']",2023-12-10
喜寶 - 有機雙益®️ HMP幼兒配方奶粉 (3號) (800克) (37870) 【香港原裝行貨】適用年齡：1歲或以上,HiPP 喜寶官方旗艦店,"10,000",,373.00,,4.6,111,德國,"['5_star', '小朋友食開好好', '產品非常合嬰兒食用！', '產品質素好，已多次回購！', '食得好好, 好健康, 可能真係有益生菌, 病痛真係少D', '味道很好的bb奶粉⋯', '一直食開, 第一個B食到第二個B, 兩個都無病無痛, 好少睇醫生, 真係感恩', '一直食開 不停回購 每日都靚便 good', 'Good', '一直飲開，BB啲便便都keep住好靚', 'Good', '1_star', '點解全部6罐奶粉都係10.11.2020？', '送少咗一罐。買二送一，嚟得兩罐。請聯絡我及補送。', '罐邊生銹，我唔知入面產品有無問題，請跟進']",2023-12-10
雅培 - 雅培保兒加營素3+ (呍呢嗱味) 850克,雅培嬰幼兒奶粉官方旗艦店,"10,000",850g,254.90,,4.4,75,新加坡,"['5_star', 'ok', '小朋友喜歡 味道好 包裝也優良', '👍🏻', '送貨很快！包裝整潔', 'ok', '會再購買', 'good', '美味好飲', '多次回購，包裝優良～慳左係街拎返屋企既路程，會員價仲平過係門市買，而且肯定係正貨！', '二次回購', '1_star', '買了3罐，3罐的瓶身都撞凹，3罐的蓋子都破損。\n\n昨天有在HKTVmall的系統提出換貨要求，剛剛想看處理進度就發現要求直接被刪除，系統完全沒有任何紀錄。\n\n同一筆加單的Tempo原箱衛生紙則是直接丟失，沒有送來。\n\n猜測可能是有兩件商品需要處理，但是每筆訂單只能提出1次要求，所以HKTVmall的系統就自作主張取消了其中1個。', '雅培話買滿$900有贈品，雅培話你司系統出左問題，顯示唔到贈品。請問入場卷贈品幾時補比我？', '雅培話買滿$900有贈品，雅培話你司系統出左問題，顯示唔到贈品。請問入場卷贈品幾時補比我？', '食用期限太短', '見有贈品優惠滿$800送vtech米奇玩具，於是買左4罐，加到購物車時仲見到，付款後無左，請跟進。', '拆開包裝 見到奶粉罐蓋已經有損毀']",2023-12-10
雀巢® - [升級] 能恩®啟護TM 4號配方奶粉800g,雀巢嬰幼營養官方旗艦店,"10,000",800克,219.90,,4.5,99,德國,"['5_star', '滿意', '包裝好', '正貨好少有折，vipday 買平少少都開心', '唔洗自己拎', 'Good delivery.', '生產日期2020年，fyi', 'FYI. 生產日期係2020年.', '多次回購, 因不用自己搬', 'good 已多次回購', '多次回購, 唔洗拎', '1_star', '大家來欣賞一些有藝術氣質的產品，有凹陷的產品也不覺奇怪，但奇在係包裝內已經出現有這麽大的凹陷，也可以出售，另一包裝仲有藝術及玩樂性質，連三歲多的兒子都話：「爸爸，咁得意嘅，罐倒轉咗，\ue362返先。爸爸，點解仲係倒轉嘅」我的回應是:「阿仔，本身有罐已經倒轉放，你點放都係倒轉架」阿仔：「點解會倒轉放嘅?」我都想知道這個藝術品，還是用來食的嬰兒奶粉呢？點解會有咁包裝的呢？', '買咗一堆貨，收咗3蚊膠袋徵費。收貨見到只用了一個膠袋，裝了3罐奶粉。即係一個膠袋收3蚊？？？', '漏送，請跟進', '今次買無10% cash dollar , 貪佢送貨唔駛ling', '比左錢先話冇貨。。。。', '今日奶粉送嚟個罐係凹，請問是否可更換']",2023-12-10
惠氏 - S-26® Ultima® 3號幼兒成長配方奶粉800克 (Wyeth® S26),惠氏營養品官方旗艦店,"10,000",800克,282.00,283.00,4.2,133,瑞士,"['5_star', '👍', '多次回購', 'ok', '幾好', 'ok', '好', '包裝好好，罐身無凹，BB食開', 'good', 'ok', '3罐有優惠碼送，抵', '1_star', 'Item was dented when I collected and not well packaged.', '買4罐有3罐凹既，已申請退貨', '倉底貨，6/11/2021落單7罐奶奶， 有6罐13/1/2022過期，已被拒絕申請退貨，只有2個月期限，趕唔切在過期前食用，以後如何放心上網買？下次如果給一個月後到期，又要接受呀？', '訂購7罐奶粉，7罐都是凹，用AXE洗潔精紙箱裝，原廠原箱6罐一箱，請問這些是正貨嗎？', '買3罐3罐都係凹咗....', '個罐凹得好嚴重 買3罐用出前一丁箱裝住', '今次送貨都算叫最後一分鐘送到，我訂購四罐奶粉，四罐都有凹，我想問你地點處理！？我都費事為難送貨人員！', '是次包裝沒有泡泡紙 三罐有兩罐凹陷', '奶粉罐撞到凹曬，6罐無1幸免，D貨好似垃圾堆拎出來咁，奶粉係俾BB飲嘅，你叫D家長係現時嘅疫情環境下點安心俾小朋友飲？麻煩貴公司檢討下工作態度。網上又賣廣告話買6罐送焗爐，優惠期去到4月2號，請問焗爐幾時送嚟？', '價錢優惠，禮品精美，但6罐當中3罐凹，始終係小朋友用，凹罐不敢食用，請安排退換']",2023-12-10
美素佳兒 - FRISO PRESTIGE®️ 3號成長配方奶粉 800克 - 皇家美素佳兒 FRISO PRESTIGE,荷蘭美素佳兒官方旗艦店,"10,000",,447.90,,4.4,110,荷蘭,"['5_star', '好', 'Gd', '好', '抵', 'Good', '小朋友飲開～一直回購', '👍🏻', 'Goodpo', 'good', '$447.9/罐，入美素半價優惠碼後$223.9/罐。抵！', '1_star', '贈品經常無貨', '買夠$2599，有氣炸鍋，但無hktv $500 cash coupon', '唔明點解凹左都可以送價，仲要係10罐咁多', '用戶已設定此評論內容為非公開', 'HKTVmall包裝只用膠袋，其他公司用紙盒包裝，其安全性強。覺得你地安排有明顯改善空間。同埋建議將所有貨物都放置紙盒內，確保運送人員唔會執漏', '呢隻奶粉好好', '一年加左至少兩次價', '沒收到門票！']",2023-12-10
雅培 - 雅培心美力升級 5 HMO 3號850克,雅培嬰幼兒奶粉官方旗艦店,"10,000",850g,274.90,275.00,4.2,79,愛爾蘭,"['5_star', '食開，特價抵！', '飲開', '👍', '有優惠都會再次回購👏👏', '比藥房更便宜。', '👍🏻', 'Good price', '運送良好', '冇穿冇爛', '特價兩罐$549.8，入優惠碼再-$130，埋單$419.8，抵。', '1_star', '未開封已有奶粉溢出', '買過幾間 未試過收到貨咁樣，罐係凹嘅 同時好污糟同生鏽，始終俾小朋友食 應該注意下衛生同產品狀況先發貨，本打算換貨，真係信心不足現想退貨退款。\n沒有客服電話 只能一次性在退換貨上面寫明原因和留電話，希望佢哋直接覆電話 但無收到', 'Are these normal results of delivery of milk formula?', '只用膠貨包裝，而且膠袋是爛的，實體店自取出門口個袋已經爆開並且跌出袋外', '包裝不好，奶粉竟然不是用紙皮箱裝住，而是用膠袋裝住，有擔心到奶粉是否正貨保證。', '包裝不好，奶粉竟然不是用紙皮箱裝住，而是用膠袋裝住，有擔心到奶粉是否正貨保證。', '贈品少送了六本書，希望可以跟進，謝謝。', '買左六罐話送六本書，剩系收到兩本，仲要部機間中會黑屏同解讀唔到', '送貨少了一罐']",2023-12-10
Aptamil - Aptamil 白金版 - 幼兒成長配方奶粉3號900克,Aptamil香港官方旗艦店,"10,000",900克,358.00,,3.8,57,紐西蘭,"['5_star', '食開，產品無問題\n但已買四罐，尚未收到現金卷，請跟進', '快靚正', '非常安全，品質好', '好', '送貨員準時送到', 'Ok', '每罐用bubble紙獨立包好，沒有凹。送$500 卷', 'Good', 'na', '買完再送coupon 抵', '1_star', '買6罐有4罐是凹的', '購買4罐Aptamil奶粉送$400電子優惠券，推廣期是10月6日至22日。我於10月15日購買4罐Aptamil奶粉，但至今仍未收到電子優惠券。10月17日（即今天）HKTV Mall網頁（見圖）仍然有此優惠。我已分別在HKTV MALL APPS及在HKTV MALL網頁與客戶服務員聯絡，但仍未有人跟進。請問何時會給我電子優惠券？', '買了8罐奶粉 為何沒有收到$600 優惠卷？請跟進！', '點解不能深入了解個因果關係，是否應該找出導致損壞原因，加以改善，而不是一味叫人退貨', '六罐有一罐凹，請跟進', '奶粉笠既！', '8/1購買時仍有推廣滿$1500送攪拌機，收到貨之後話已送完。我買左5罐之後，送貨來11/1沒有的。但12/1現時仍貼出優惠，呃消費者購買。若已送畢，應及時告之消費者！', '我350幾買的，今日啱收到貨就已經變成322，然後我再購物發現加購價先300蚊！足足爭咗成50蚊！仲有無誇張啲？令我以後都唔想再幫襯HKTVMALL了！', '推廣優惠6罐75折實際扣數按85折😓', '送$100電子優惠券只適用於再次購買牛欄牌/Aptamil產品，唔該下次清楚列示條款，明買明賣，留言我見都唔止我一個受害者。']",2023-12-10
